,Area_day4.day0,Grayness_day4.day0,strain_FC6141,strain_FC8125,strain_FC8152,strain_FC8172,strain_FC8191,strain_FC8192,strain_IFM65656,Temperature_37,Temperature_RT,Medium_high,Medium_low
8191_rt_rich_d4_01,38.40990612,0.835869735,0,0,0,0,1,0,0,0,1,1,0
8191_rt_rich_d4_02,34.59557413,1.030654565,0,0,0,0,1,0,0,0,1,1,0
8191_rt_rich_d4_03,34.53049708,0.832531481,0,0,0,0,1,0,0,0,1,1,0
8191_rt_rich_d4_04,34.13014079,0.971399397,0,0,0,0,1,0,0,0,1,1,0
8191_rt_rich_d4_05,31.63772585,1.066831632,0,0,0,0,1,0,0,0,1,1,0
8192_37_poor_d4_01,12.29266796,0.270933115,0,0,0,0,0,1,0,1,0,0,1
8192_37_poor_d4_02,13.23698362,0.343755092,0,0,0,0,0,1,0,1,0,0,1
8192_37_poor_d4_03,7.144155891,0.335609517,0,0,0,0,0,1,0,1,0,0,1
8192_37_poor_d4_04,10.45986045,0.215652016,0,0,0,0,0,1,0,1,0,0,1
8192_37_poor_d4_05,11.37791571,0.259461349,0,0,0,0,0,1,0,1,0,0,1
8192_37_rich_d4_01,8.885251263,0.97059532,0,0,0,0,0,1,0,1,0,1,0
8192_37_rich_d4_02,3.293254039,1.087153382,0,0,0,0,0,1,0,1,0,1,0
8192_37_rich_d4_03,5.654502732,1.104600044,0,0,0,0,0,1,0,1,0,1,0
8192_37_rich_d4_04,2.652694611,1.086070616,0,0,0,0,0,1,0,1,0,1,0
8192_37_rich_d4_05,3.001815298,1.133566128,0,0,0,0,0,1,0,1,0,1,0
8192_rt_poor_d4_01,15.35474384,0.261198136,0,0,0,0,0,1,0,0,1,0,1
8192_rt_poor_d4_02,16.47927782,0.196950712,0,0,0,0,0,1,0,0,1,0,1
8192_rt_poor_d4_03,15.22098027,0.437816809,0,0,0,0,0,1,0,0,1,0,1
8192_rt_poor_d4_04,15.60121301,0.345046009,0,0,0,0,0,1,0,0,1,0,1
8192_rt_poor_d4_05,17.17923027,0.461964094,0,0,0,0,0,1,0,0,1,0,1
8192_rt_rich_d4_01,4.253221083,1.079939248,0,0,0,0,0,1,0,0,1,1,0
8192_rt_rich_d4_02,4.47896296,1.148082062,0,0,0,0,0,1,0,0,1,1,0
8192_rt_rich_d4_03,3.440049466,1.084039202,0,0,0,0,0,1,0,0,1,1,0
8192_rt_rich_d4_04,3.87224009,1.074681182,0,0,0,0,0,1,0,0,1,1,0
8192_rt_rich_d4_05,3.642889965,1.159502003,0,0,0,0,0,1,0,0,1,1,0
